path,checked_rows,violations
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202209\batch-768523a4ca01d8f8.parquet,1,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202209\batch-8969417cae45a3e9.parquet,1,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202210\batch-711aaa6cc199f547.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202210\batch-f2a38580e89ffc4a.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202211\batch-821196cad292e11f.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202211\batch-ac30dd3a6550e6b5.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202212\batch-5120a20fb031435d.parquet,5,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202212\batch-cf11f4e48288362e.parquet,5,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202301\batch-52e34df9ca660419.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202301\batch-7df63c674a48335b.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202302\batch-a584d639cf8951fd.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202302\batch-c484ed4c27f11c83.parquet,4,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202303\batch-7954ede96c53eed0.parquet,5,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202303\batch-9cb3db6888e9cc0e.parquet,5,0
