phase,dataset,symbol,start,end,rows,files,status,elapsed
stock,dividend,1307.TW,2024-01-01,2025-09-28,3,1,OK,0.46
stock,dividend,1468.TW,2024-01-01,2025-09-28,3,1,OK,3.158
stock,dividend,1313.TW,2024-01-01,2025-09-28,3,1,OK,3.726
stock,dividend,1783.TW,2024-01-01,2025-09-28,3,1,OK,3.182
stock,dividend,1817.TW,2024-01-01,2025-09-28,3,1,OK,3.188
stock,dividend,2020.TW,2024-01-01,2025-09-28,3,1,OK,3.131
stock,dividend,2315.TW,2024-01-01,2025-09-28,3,1,OK,3.138
stock,dividend,2454.TW,2024-01-01,2025-09-28,3,1,OK,3.028
stock,dividend,2448.TW,2024-01-01,2025-09-28,3,1,OK,3.25
stock,dividend,2832.TW,2024-01-01,2025-09-28,3,1,OK,3.119
stock,dividend,2910.TW,2024-01-01,2025-09-28,3,1,OK,3.148
stock,dividend,3346.TW,2024-01-01,2025-09-28,3,1,OK,3.199
stock,dividend,3213.TW,2024-01-01,2025-09-28,3,1,OK,3.329
stock,dividend,4304.TW,2024-01-01,2025-09-28,3,1,OK,3.167
stock,dividend,3661.TW,2024-01-01,2025-09-28,3,1,OK,3.194
stock,dividend,4582.TW,2024-01-01,2025-09-28,3,1,OK,3.095
stock,dividend,4535.TW,2024-01-01,2025-09-28,3,1,OK,3.142
stock,dividend,4768.TW,2024-01-01,2025-09-28,3,1,OK,3.089
stock,dividend,4927.TW,2024-01-01,2025-09-28,3,1,OK,3.071
stock,dividend,5013.TW,2024-01-01,2025-09-28,3,1,OK,3.252
stock,dividend,5292.TW,2024-01-01,2025-09-28,3,1,OK,3.249
stock,dividend,5353.TW,2024-01-01,2025-09-28,3,1,OK,3.178
stock,dividend,5488.TW,2024-01-01,2025-09-28,3,1,OK,3.178
stock,dividend,5489.TW,2024-01-01,2025-09-28,3,1,OK,3.057
stock,dividend,6160.TW,2024-01-01,2025-09-28,3,1,OK,3.057
stock,dividend,6277.TW,2024-01-01,2025-09-28,3,1,OK,3.115
stock,dividend,6207.TW,2024-01-01,2025-09-28,3,1,OK,3.245
stock,dividend,6561.TW,2024-01-01,2025-09-28,3,1,OK,3.038
stock,dividend,6516.TW,2024-01-01,2025-09-28,3,1,OK,3.283
stock,dividend,6626.TW,2024-01-01,2025-09-28,3,1,OK,3.284
stock,dividend,6637.TW,2024-01-01,2025-09-28,3,1,OK,3.169
stock,dividend,6952.TW,2024-01-01,2025-09-28,3,1,OK,3.039
stock,dividend,6665.TW,2024-01-01,2025-09-28,3,1,OK,3.045
stock,dividend,8047.TW,2024-01-01,2025-09-28,3,1,OK,3.173
stock,dividend,7716.TW,2024-01-01,2025-09-28,3,1,OK,3.296
stock,dividend,8086.TW,2024-01-01,2025-09-28,3,1,OK,3.169
stock,dividend,8917.TW,2024-01-01,2025-09-28,3,1,OK,3.162
stock,dividend,9943.TW,2024-01-01,2025-09-28,3,1,OK,3.123
stock,dividend,8934.TW,2024-01-01,2025-09-28,3,1,OK,3.241
stock,dividend,9944.TW,2024-01-01,2025-09-28,3,1,OK,3.074
stock,per,1307.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.166
stock,per,1313.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.143
stock,per,1468.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.155
stock,per,1817.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.021
stock,per,1783.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.238
stock,per,2315.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.041
stock,per,2020.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.26
stock,per,2448.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.177
stock,per,2454.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.178
stock,per,2910.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.019
stock,per,2832.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.149
stock,per,3346.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.162
stock,per,3213.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.297
stock,per,3661.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.176
stock,per,4304.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.177
