dataset,partition,file,rows,ok,missing_cols
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0003fadaff9c4b27ab16c3abf83b3003.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-001e7a0c657046519e8aae942046709e.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0020141c58834b5f9f5b64be4a9f47a5.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0028eba8d6b04db2a5ab317713348223.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-003f68247c684143a91f6878c1262647.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-00474fd20e5544339ecac9078eeaa05a.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-004b3714d0cf4179808a73bc1b074830.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-007009deff2f49b6bd67118940e4e6ec.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0070e86e6bc842c38bdec604d081359f.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0073c91798814a1cb4ed3d0f1dae6cf5.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-00caf61065ae476cbc0e80f7ffbadc2f.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-00ce5dee8a034ff0be6f6549de9b3d93.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-00da7db776a043dba703b22bd54c1b51.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-00f435ac2b5e41a6ace53de6c29573bd.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-00f674737bc04be88d211eaf4a86574a.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-010e637e21eb4d1099e0c09ee148c86d.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-010e8be8bd554c99a1801c6f95d5621a.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0124270f809b4ffb872b1f37a2cb7e6f.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0138f082f054457eb960c2af37b63009.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-01453dda29a145719defb567b515a5a0.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-01660159a0904858b0f0f2e268787486.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-017e287859cf4853b644e71c24ec5cba.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0185c978085f419a973693fc72593d42.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-018ac666c32d42e396bc521a95dee4f6.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-01990018aec34052a9e7c384f0f5b186.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-019e16d48da646c08adc58f41c92f7e2.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-01b3d11921c54af4ac40d78f974ca158.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-01b4774e379a4e5eb36774a4f4ead29e.parquet,1,True,
